kind	name	plain_len	plain_sha256	apultra_len	apultra_sha256	apj_len	apj_sha256	status
plain	ab_repeat	800	02d2ae23004e61922cbfd8aefc8ea757c2258a4ba1a305736ffc82659281ba98	8	caaa730a84c19da05fc721d3211f7739f23312a645e2dd7c8733b51f13c00124	8	caaa730a84c19da05fc721d3211f7739f23312a645e2dd7c8733b51f13c00124	CROSS-OK
plain	far_window_40k	40048	f92af5b62398fae2e9545e4e1397158817541384c46bd5474b4bd70fba802b1d	305	c583dbd5ae4b15edd37e0f74ed1180142c3ec106e625ebf84f52d3c546cf6f6d	305	c583dbd5ae4b15edd37e0f74ed1180142c3ec106e625ebf84f52d3c546cf6f6d	CROSS-OK
plain	near_window_2k	1680	cb7457cc6481376f58e72562cfd8aae3d5425147b4ce0a3ca495ea29cd5764e5	55	7eba63702595c593f8494c793088bbce26b48288bae1fc8bfd6758b2b736281c	55	7eba63702595c593f8494c793088bbce26b48288bae1fc8bfd6758b2b736281c	CROSS-OK
plain	noisy_runs_16k	16384	07b46dc6addbfb8546df1d15bc9d0b78a0881890f0b8dfee1009f17db9ebff62	1205	9679970e6d793e54ce7041fedaaae3e7b7b1a427c031145fcaa9b0bc77c4823c	1366	74e388e91d77e898d1d50a1e5423333e792a018e70566de52884b140e40594b8	CROSS-OK
plain	pseudo_random_8k	8192	733a31fa3a683c9daffae365a456bbe5145fed1cedbae888a10edca09e7f5a6e	294	cad2d56a56a0fac7f9a429dee0363ec7447e80148fd802c7681a1ad9850cb9b8	294	cad2d56a56a0fac7f9a429dee0363ec7447e80148fd802c7681a1ad9850cb9b8	CROSS-OK
plain	text_rep	6000	15748fc11716b4cc2bfd0245eaa5ec664e021eecc31ac1dff9c8045ec746b750	28	83ca678db4869396375dd9e3814246bd43a0c4a1d0c992790afb2614983731f5	28	83ca678db4869396375dd9e3814246bd43a0c4a1d0c992790afb2614983731f5	CROSS-OK
plain	tile_like	8192	b81313391be143a836534d3a4ef99c978db8e730170c0d207893f2d8b2b5a03f	41	f494516d9e040b423342e2f1d120c31853d69d16798f99b2fcb00031e7989fa9	41	f494516d9e040b423342e2f1d120c31853d69d16798f99b2fcb00031e7989fa9	CROSS-OK
plain	zeros_64k	65536	de2f256064a0af797747c2b97505dc0b9f3df0de4f489eac731c23ae9ca9cc31	8	7d2a00bba7493ae72b49a2f9d4d8b55bf50f651a8c102ab60598046f10bdda49	8	7d2a00bba7493ae72b49a2f9d4d8b55bf50f651a8c102ab60598046f10bdda49	CROSS-OK
golden	g01b_single_byte	1	bbeebd879e1dff6918546dc0c179fdde505f2a21591c9a9c96e36b054ec5af83	3	4eb77c03e5059ca48a7ee3553edfc80d7fb175710e9127bf82be3d3e15b333bc	-	-	GOLDEN-CONFIRMED
golden	g01_literals	5	3733cd977ff8eb18b987357e22ced99f46097f31ecb239e878ae63760e83e4d5	7	40e7a53d8e51f0e745d8a25ab0b63bcef0b7b6132db72553f350ba8dc3714f1a	-	-	GOLDEN-CONFIRMED
golden	g02_short_zero	3	f245639459ddfe3cf7d32400c26a1b2ff471b06ad5c6f26f1f5f6e8d510b5111	5	bcbc35d0be87d70dd7f65436548a987146865236dc7fd355fef39f7f303a196d	-	-	GOLDEN-CONFIRMED
golden	g03_short_match	6	babd6736192360b0e254b13f0eb5da9a9e17ed31bccf54b38ae8132d0515f43a	6	3986eb2b6b34348f026a2d843ce68d43459e2ba1a60630139ce70b512caccc61	-	-	GOLDEN-CONFIRMED
golden	g04_long_off_lt128	5	11770b3ea657fe68cba19675143e4715c8de9d763d3c21a85af6b7513d43997d	5	d974ede4f7a428ccd2a308a0def46fcda9e6bef1fc01fcfd81a36713ba022a9a	-	-	GOLDEN-CONFIRMED
golden	g05_repmatch	10	195dadd56624856f89bd9a78f8420c3acf5f91af85b4225bf2146a12003b00ce	9	c8a521fbf5321e54392b6fa15f7c9c5f8becb450a52fff272fb227ca5cf1d9ff	-	-	GOLDEN-CONFIRMED
golden	g06_mid_offset	1521	f95c80cd879196fdfa5ac55acfcc787e41ce7d45d0db62996397fdfdd25134c5	308	a9f90ddde202e5a95d28a29ca73e644637fb6d375ac735800535ec1952cb5e46	-	-	GOLDEN-CONFIRMED
golden	g07_far_offset	33220	f91e8ae2ecefabe91ec2c4d1ce277f1c29728a04159571584eee239509a36a4d	500	f0a20d593cdda4e61c59513427046931312eced0f9b36b342ca7f37a4d7ba2a4	-	-	GOLDEN-CONFIRMED
golden	g08_eod_trailing	6	6dbe90be4616944f6e1adddeb10e2bec46d0f3992519882a4a34b0467b914330	11	d3d5efd4eab5fcf0de868f8e219c87ae70a4a464fd040482100ec1a2304c3e80	-	-	GOLDEN-CONFIRMED
negative	n01_no_eod	-	6b748494afe9258bae42f2e1edd989e0b07cd127173f5c656a19c4e3f126c1d7	4	951b16a731e6a5bc4e78926ab48a3b1c269befed4c67980aa260cc1714746a95	-	-	NEGATIVE-SPEC:truncated
negative	n02_rep_first_token	-	c74b3abff914aec6f8b72f58b56983305c7bf8adbbfcecb2ab4446d88e5958d5	2	1655cdb4800790f592e4e7a96d0790f4a4a1aa9db4a47c830e50c3dabdf246ed	-	-	NEGATIVE-SPEC:invalid-reference
negative	n03_far_offset	-	3537ea84c45b27744c381cf7aa365bb3554d94e43e72277dd5269fd62e2299d7	3	06dd227825af3b084a8377c3b31e40efea78c0c5d0b25fa95a6a2e20bdf3a1fd	-	-	NEGATIVE-SPEC:invalid-reference
negative	n04_truncated_mid_token	-	a171da4c79dce6beb65fb7d5d8397d5288fc5a5dc96d670833cf5038f6d2a93a	6	608f359cdcbe15b72b18af531f8e74b1ae074fcca2fefb48b7420f71ff393013	-	-	NEGATIVE-SPEC:truncated
negative	n05_excessive_output	-	6bdc8a44e3c92035d7f24c7b3d5e31f0be1905259cb757dcb850390f2c5d40d1	9	02e22644d650adcc50f8b30d43fb32a969805c386a53fd879bd0533b48099e1c	-	-	NEGATIVE-SPEC:excessive-output
negative	n06_token110_first	-	aa4dfdf0f48f08c407a59604b7cdb448fa92c91fdbf054d6ec0c09cb0a12ab92	3	b50e08a438d243d6d36bf527de9fa53e206d28244b465da84a2a02fcc0218974	-	-	NEGATIVE-SPEC:invalid-reference
negative	n07_token111_first	-	96db573bd458b0908a3906efa660b2ceebec147df36af315fbe9e0fe23886fcf	2	5edd947eda8bba75e5a6424da4a42010c05084129117ad1a3b0258a31ebc0778	-	-	NEGATIVE-SPEC:invalid-reference
