kind	nome	plain_bytes	plain_sha256	comp_bytes	comp_sha256	status
plain	alternating_runs	1200	5c09e3d725db5fe88af1107307e04cdf5b59bf9b3b80af7acfb78c98dc5debeb	84	5fa3a1a3907a599f32c2af736a1142ac7fa4583bfa43661a8f14c4800a299672	RT-OK
plain	big_deltas	96	1423a6c33549d2d46179aeafefe00c40cf1baa22553bce6156e0a5c23fee6e8a	92	e80e1fd4bf4f41765e8f543fdfac3650d6bc6800d29c7790834afbd39775aaad	RT-OK
plain	const_500	400	4e1371f5996ecb79516590e2296d12638144c35acae7fe4de1c37e10cf7f9923	18	881c31796ed37c0cbf430ce1ca7d87f67adf8fcc82b2f53d1b9cdd8f5d5bea26	RT-OK
plain	empty	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8	d62c86ef95843a9599981535f5ab4ca042fdc66ea9110e4b49af10e003f50f20	RT-OK
plain	noise_1k	1024	4d844a923dbdf00ccda713d6b5d51e517832f781b228721b5c974f47c0c0135c	1058	92206a23c1a21ae1cad5591a80303048ef6bf66981ba502875cb7adb2779e4a2	RT-OK
plain	planes_4k	4096	f2dce5732f5ce79f4b18b413eacb9d11bbc126053442ddbd7428e0f7853f98e3	4222	fd4271f94bb9185b6eafbbe483b82a98c343b5fe2643485ab83d0177efcdb6a0	RT-OK
plain	ramp_signed	400	59af57fd68c8155035760078555c928c73c241e5df59154c10feac3652f8e17e	18	84018e0bb7c3c16712a01489b2b36a0b80369fed0bbe604efde4fe65ddb2fce2	RT-OK
plain	single_word	2	3a103a4e5729ad68c02a678ae39accfbc0ae208096437401b7ceab63cca0622f	8	0b73d0c8920cdcf86479b287ac26f69a60480fc3ed1e5c30537248024edf229d	RT-OK
plain	threshold_edge	64	58e8f2a1f78f0a591feb75aebecaaa81076e4290894b1c445cc32953604db089	10	b0fa37e1a6136e2971f0fc61c90a31977f5776ef3867e5cb8a7310ae99a02743	RT-OK
plain	zeros_64	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca	12	e9f16194f331d4b1bf8dbf7b4cd129e65af7f263a073358491b4b191afd92087	RT-OK
negative	e01_odd_bytes_tail	-	-	5	4bd1af3932d68b0957a47dd4100429ac90ffa6d2c3fc96f877438da7614b617a	NEGATIVE-SPEC
negative	e02_truncated_last_byte	-	-	4221	d779620ef93a703c88632d4f7121b06ae1815221eace40de6ae4835df1a4bc4a	NEGATIVE-SPEC
negative	e03_len_inflated	-	-	4222	c6437c762e4eed940cfe11ee944d3dd639537a24e1b5b10ab98ae3d765d56eea	NEGATIVE-SPEC
negative	e04_mode_02	-	-	18	0f3746d3d4d2cc3fe22c33ef5c585fb088c82684c117f2d80f9c90a55eac92b3	NEGATIVE-SPEC
negative	e05_empty_stream	-	-	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	NEGATIVE-SPEC
negative	e06_garbage_ff_255b	-	-	255	299e8a432bfff7d46b9af5796a3114bbd7562c266b8dc14691ed763fe1bb8d23	NEGATIVE-SPEC
negative	e07_planes_4k	-	-	4222	fd4271f94bb9185b6eafbbe483b82a98c343b5fe2643485ab83d0177efcdb6a0	NEGATIVE-SPEC
