kind	nome	plain_bytes	plain_sha256	comp_bytes	comp_sha256	status
plain	abcdef	6	e9c0f8b575cbfcb42ab3b78ecc87efa3b011d9a5d10b09fa4e96f240bf6a82f5	12	fb9ed18d8b9cf505f256f927c8eca592cb3774aef38a9207a4d8db6de04a2666	RT-OK+MIRROR
plain	ab_repeat	800	02d2ae23004e61922cbfd8aefc8ea757c2258a4ba1a305736ffc82659281ba98	20	bbf6c3db7c8db07ee5104b05bc014c2ffebdc479cf49ed8a1a6be6361dcf44d9	RT-OK+MIRROR
plain	empty	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6	a53f93baaf14a909460524eb4ea387bfb2acc412c48ec9d6f15dca1fe0d2a324	RT-OK+MIRROR
plain	far_window_40k	40048	f92af5b62398fae2e9545e4e1397158817541384c46bd5474b4bd70fba802b1d	1086	9db758b16e8733f5e1f18c31c846ad4c0c452e9b844d316cc1521e99c42859f7	RT-OK+MIRROR
plain	near_window_2k	1680	cb7457cc6481376f58e72562cfd8aae3d5425147b4ce0a3ca495ea29cd5764e5	76	96783125ae7fff2d63327b97f3a50256b42f024318086ce40fa9141052ce733c	RT-OK+MIRROR
plain	noisy_runs_16k	16384	07b46dc6addbfb8546df1d15bc9d0b78a0881890f0b8dfee1009f17db9ebff62	1526	db077c5dbc8ccaa5996e77dbcbfbb4ec36d6795c798bc035287cd5a27c613249	RT-OK+MIRROR
plain	odd3	5	3733cd977ff8eb18b987357e22ced99f46097f31ecb239e878ae63760e83e4d5	10	94f14c61036bee71b4f9a8354566e20e18f15a4412a28ea41ad606309e821fcd	RT-OK+MIRROR
plain	pseudo_random_8k	8192	733a31fa3a683c9daffae365a456bbe5145fed1cedbae888a10edca09e7f5a6e	394	68c5c194db4060ba4a444f885c5244bec94d08bb31e9dfdfa21fb1f863b8c885	RT-OK+MIRROR
plain	single	1	bbeebd879e1dff6918546dc0c179fdde505f2a21591c9a9c96e36b054ec5af83	6	c5605acf5bfdf10fbac2803dbb592b94a6eadae7fbb58fabb7577495f60363dc	RT-OK+MIRROR
plain	text_rep	6000	15748fc11716b4cc2bfd0245eaa5ec664e021eecc31ac1dff9c8045ec746b750	106	261d149458ee1dc66a6ca2736a221e88f98acefd25ccf33390c558c4beb9355f	RT-OK+MIRROR
plain	tile_like	8192	b81313391be143a836534d3a4ef99c978db8e730170c0d207893f2d8b2b5a03f	164	5c29d4c5c4e0148167e5ffdb2724a9751f471b2d1ea6c34c2a0db5a99a2aa109	RT-OK+MIRROR
plain	zeros_64k	65536	de2f256064a0af797747c2b97505dc0b9f3df0de4f489eac731c23ae9ca9cc31	838	e887c360014a4ecc7f3010f7e1c433114ba9282661bc9a1f995af4c7b8455a3c	RT-OK+MIRROR
golden	m01_literals	6	e9c0f8b575cbfcb42ab3b78ecc87efa3b011d9a5d10b09fa4e96f240bf6a82f5	11	58073828b565aed42901501b207cee19ac4b5ae753c31766dfbda3c61ffa0d1f	GOLDEN-CONFIRMED
golden	m02_single_with_eod	1	bbeebd879e1dff6918546dc0c179fdde505f2a21591c9a9c96e36b054ec5af83	3	07d9b4efd994f51eca95524f07aeb3490e44c757d2e689655e978188649e72c1	GOLDEN-CONFIRMED
golden	m03_inline_match	9	919c3b8b8e08d48059486c8349c144e329cc3af41ce116cd1acf4b93738f84aa	11	eaaf528394431ed65cb6a96cc82b35bb3610619d3916457faf4d6f88f9597e56	GOLDEN-CONFIRMED
golden	m04_separate_short	20	eed465696c9a50d1b891b262675d4dfa22e4baa8197c441a0f7cd20e543c3443	18	79673c053c6ac1f8118613a511128fb12d8ebc57296c76cd424eb66686935255	GOLDEN-CONFIRMED
golden	m05_separate_long_far	8451	f54f89287c12a3502182f246d4788a946194087381deab5dd4d7f8196b6955be	115	f27f9aff17c7e6451b2889bd0d132c8c76770ae98257f7422d9091fc7d76aa61	GOLDEN-CONFIRMED
golden	m06_continue_edge	7	9578ecfd18dfe61d72b9b529f8798292a9303e7d2e902aa76be84327baf3e3db	14	ab096a92d1af61dd08f048e19e4aeb129e352093489c8e583b565dddeae84acb	GOLDEN-CONFIRMED
golden	m07_inline_exact_history	6	69dc6c3210e25e62c5938ff4e841e81ce3c7d2cde583553478a77d7fcb389f30	10	242e1214f1efcf28cccb4a71bcec26b10a4cf4ed70fe6fd1472e38358a6ab7c2	GOLDEN-CONFIRMED
golden	m08_len10_three_byte	19	208640a3c2363b44a4afd1c5df6f87720c9a75fb06042241e4b7f6a74e14fd5d	17	b1eafaf441702fc804135e952c82c3efdfaca8bf826a5be7664b23af195b065e	GOLDEN-CONFIRMED
