kind	name	plain_len	plain_sha256	stream_len	stream_sha256	status
plain	abcdef	6	e9c0f8b575cbfcb42ab3b78ecc87efa3b011d9a5d10b09fa4e96f240bf6a82f5	12	3d787e41b88e9307b2ceca891df8688b499f8d334cd50e7769c51e292ae5b129	RT-OK
plain	ab_repeat	800	02d2ae23004e61922cbfd8aefc8ea757c2258a4ba1a305736ffc82659281ba98	14	7e6afd2c543fd40d7688992ddde6484559a1777b7968d7a49b3faec6deccb7d9	RT-OK
plain	empty	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	RT-OK
plain	far_window_40k	40048	f92af5b62398fae2e9545e4e1397158817541384c46bd5474b4bd70fba802b1d	862	60d3661918bddbfd451c94000ce0cb9aa1df141fce32a6ab8288ddea51d7f92b	RT-OK
plain	near_window_2k	1680	cb7457cc6481376f58e72562cfd8aae3d5425147b4ce0a3ca495ea29cd5764e5	68	51544b3c45f3d1049ca4385c95ed928b6d6b093dce7ec25d2f5b52652359cab0	RT-OK
plain	noisy_runs_16k	16236	c06739344b939bffb88bcc35690f756baface6bafe75bb3374501180ff46ba96	1688	f5e76b664186496b8be1f19642b87790795258d7d41b2aa9f3be050e12b72801	RT-OK
plain	odd5	5	3733cd977ff8eb18b987357e22ced99f46097f31ecb239e878ae63760e83e4d5	10	f2fc606fa7fdd2abf0723da6e3f3a2c8edfe18cf31b0b5bbc40b7e956bf1fe94	RT-OK
plain	pseudo_random_8k	8192	733a31fa3a683c9daffae365a456bbe5145fed1cedbae888a10edca09e7f5a6e	340	215fcb2cab61d8f7935a445320418c949f1c3ac8681de07d1018f648657e698b	RT-OK
plain	single	1	bbeebd879e1dff6918546dc0c179fdde505f2a21591c9a9c96e36b054ec5af83	4	b40405b98d22ab14bf019b9ae17ae639f36e495656df6fa0bc538cf074a185a9	RT-OK
plain	text_rep	6000	15748fc11716b4cc2bfd0245eaa5ec664e021eecc31ac1dff9c8045ec746b750	72	c989e7fc266e4dc13511395b933f98416b0f2063eee1c1dbd3766959b92914fe	RT-OK
plain	tile_like	8192	b81313391be143a836534d3a4ef99c978db8e730170c0d207893f2d8b2b5a03f	132	9097705dfa0ae1b175a24569af6ae71075d2ec0853cccb42f5ad506bd4b79351	RT-OK
plain	zeros_64k	65536	de2f256064a0af797747c2b97505dc0b9f3df0de4f489eac731c23ae9ca9cc31	518	4e075d6b7de8cbb7c87430f88d65bc4f91a4fb638be8bd36eaa9c0cc8ce7592a	RT-OK
golden	k01_literals_even	6	e9c0f8b575cbfcb42ab3b78ecc87efa3b011d9a5d10b09fa4e96f240bf6a82f5	14	155fe14704fb781912db27c64d7b9b2b11a2ccce64febd0d9d76d6c078a658cd	GOLDEN-CONFIRMED
golden	k02_final_byte_odd	5	3733cd977ff8eb18b987357e22ced99f46097f31ecb239e878ae63760e83e4d5	10	f2fc606fa7fdd2abf0723da6e3f3a2c8edfe18cf31b0b5bbc40b7e956bf1fe94	GOLDEN-CONFIRMED
golden	k03_single_odd	1	bbeebd879e1dff6918546dc0c179fdde505f2a21591c9a9c96e36b054ec5af83	4	b40405b98d22ab14bf019b9ae17ae639f36e495656df6fa0bc538cf074a185a9	GOLDEN-CONFIRMED
golden	k04_empty	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	GOLDEN-CONFIRMED
golden	k05_short_match	8	84d048519ec135de023883a1969a62184bfc77507a394035740f5f376b72acee	10	d207e7a511aa487317719ab877692c2a123cc39c8741d2df866cca8fe6c1cdff	GOLDEN-CONFIRMED
golden	k06_max_literals	34	9cfe9e91b0799f4e244ec2e63e7e7ee12eb271ffa755d932fb37bbd35db7b886	36	200e730a3173a0270f95419b9c22575dad06c6b18e4a96828f37fbc2127590c8	GOLDEN-CONFIRMED
golden	k07_long_match_near	82	6aacf5279e24979684fab16fb5495c3ac1dfcf7138b0825376af83473d07cae9	10	d27c275f704df9cb98f8c5cddb7030a9fda6b1178f3535c751133c2b2f786a8c	GOLDEN-CONFIRMED
golden	k08_long_match_far	81	d6931c3ea77cbf662aff974039208fd188b945d77b343468145ac5e95cbaa3e2	12	723726534a37eca8b1cc41203026697b4981da0738739559eeb86818d7cfec80	GOLDEN-CONFIRMED
golden	k09_mixed	47	71aa100c239c2abc8a6296d25ac8e4b3627c4a731a5a310fe2eb08e997751d17	28	45c58397d9f52c01532ef79eabaa683b41de283f93c908c218acc1f6a551c0f7	GOLDEN-CONFIRMED
